title,journal,doi,authors,search_term,dataset_id,valid?,notes,pdf
Comparison of full and empirical Bayes approaches for inferring sea‐level changes from tide‐gauge data,Journal of Geophysical Research Oceans,10.1002/2016jc012506,"Piecuch, Christopher G., Huybers, Peter, Tingley, Martin P.",Tidal Datum,dataset-614,,,
Designing an Algorithm to Generate Dynamic Intentional Grounding Zones (DIGOs) for Distressed Passenger Ships in Coastal Regions,Journal of Coastal Research,10.2112/si79-028.1,"Hong, Dan-Bee, Yang, Chan-Su",Tidal Datum,dataset-614,,,
Sea level rise drives increased tidal flooding frequency at tide gauges along the U.S. East and Gulf Coasts: Projections for 2030 and 2045,PLoS ONE,10.1371/journal.pone.0170949,"Dahl, Kristina A., Fitzpatrick, Melanie F., Spanger-Siegfried, Erika",Tidal Datum,dataset-614,,,
Differences between mean tide level and mean sea level,Journal of Geodesy,10.1007/s00190-016-0938-1,"Woodworth, P. L.",Tidal Datum,dataset-614,,,
Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,Journal of Marine Science and Engineering,10.3390/jmse4040079,"Wang, Jindong, Myers, Edward",Tidal Datum,dataset-614,,,
"Improvements for the Western North Atlantic, Caribbean and Gulf of Mexico ADCIRC Tidal Database (EC2015)",Journal of Marine Science and Engineering,10.3390/jmse4040072,"Szpilka, Christine, Dresback, Kendra, Kolar, Randall, Feyen, Jesse, Wang, Jindong",Tidal Datum,dataset-614,,,
Contributions of recent barometric pressure trends to rates of sea level rise in southeastern Massachusetts (USA),Regional Studies in Marine Science,10.1016/j.rsma.2016.09.005,"Smith, Stephen M.",Tidal Datum,dataset-614,,,
Statistical Interpolation of Tidal Datums and Computation of Its Associated Spatially Varying Uncertainty,Journal of Marine Science and Engineering,10.3390/jmse4040064,"Shi, Lei, Myers, Edward",Tidal Datum,dataset-614,,,
Estimating tsunami inundation from hurricane storm surge predictions along the U.S. gulf coast,Ocean Dynamics,10.1007/s10236-016-0966-7,"Pampell-Manis, Alyssa, Horrillo, Juan, Figlus, Jens",Tidal Datum,dataset-614,,,
The analysis of Last Interglacial (MIS 5e) relative sea-level indicators: Reconstructing sea-level in a warmer world,Earth-Science Reviews,10.1016/j.earscirev.2016.06.006,"Rovere, Alessio, Raymo, Maureen E., Vacchi, Matteo, Lorscheid, Thomas, Stocchi, Paolo, Gómez-Pujol, Lluís, Harris, Daniel L., Casella, Elisa, O'Leary, Michael J., Hearty, Paul J.",Tidal Datum,dataset-614,,,
"The Impacts of Sea-Level Rise on Tidal Flooding in Boston, Massachusetts",Journal of Coastal Research,10.2112/jcoastres-d-15-00100.1,"Kruel, Stephanie",Tidal Datum,dataset-614,,,
Response of Schoenoplectus acutus and Schoenoplectus californicus at Different Life-History Stages to Hydrologic Regime,Wetlands,10.1007/s13157-015-0713-8,"Sloey, Taylor M., Howard, Rebecca J., Hester, Mark W.",Tidal Datum,dataset-614,,,
