dataset_id,dataset_string,dataset_title,doi,journal,title,Used dataset?,Link
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,Training opportunities for noncommunicable diseases research in Latin America: A scoping review,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0108,Journal of European Tort Law,The Law and Economics of Tort Liability for Human Rights Violations in Global Supply Chains,No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.3390/su11154120,Sustainability,National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1089/glr2.2019.2362,Gaming Law Review,"KONAMI GAMING INC. v. HIGH 5 GAMES, LLC Case No. 2018-1723; 756 Fed. Appx. 994 (Mem) (Fed. Cir. Mar. 11, 2019)",No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1111/maps.13300,Meteoritics and Planetary Science,"Geophysical characterization of the Daskop granophyre dyke and surrounding host rocks, Vredefort impact structure, South Africa",No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1007/s10461-018-2305-0,AIDS and Behavior,A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1080/00908320.2019.1617927,Ocean Development & International Law,The Doctrine of Constructive Presence and the Arctic Sunrise Award (2015): The Emergence of the “Scheme Theory”,No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0101,Journal of European Tort Law,Post-Mortal Protection of the Right to Reputation – A Comparative View,No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1515/jetl-2019-0103,Journal of European Tort Law,Punitive Damages: Reorienting the Debate in Civil Law Systems,No,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1053/j.gastro.2018.12.045,Gastroenterology,The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1016/j.respol.2018.10.027,Research Policy,The relation between research priorities and societal demands: The case of rice,Yes,
dataset-428,Federal RePORTER,Higher Education Research and Development Survey,10.1007/s10551-017-3581-8,Journal of Business Ethics,Tone-at-the-Top Lessons from Abrahamic Justice,No,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.jpubeco.2019.104066,Journal of Public Economics,The impact of money on science: Evidence from unexpected NCAA football outcomes,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1038/d41586-019-01734-1,Nature,The hunt for the lesser-known funding source,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1007/s11192-018-2992-3,Scientometrics,Universities’ structural commitment to interdisciplinary research,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/25891715-00201002,Public Anthropologist,Public Anthropology in Changing Times,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.2139/ssrn.3421123,SSRN Electronic Journal,Innovating Banks and Local Lending,Limited Access,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1073/pnas.1807174115,Proceedings of the National Academy of Sciences,Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.joi.2018.09.001,Journal of Informetrics,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/00221546.2018.1435134,The Journal of Higher Education,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1108/sgpe-d-17-00044,Studies in Graduate and Postdoctoral Education,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.7554/elife.32822,eLife,Research: Sci-Hub provides access to nearly all scholarly literature,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1163/22125868-12340100,International Journal of Chinese Education,Classifying Institutions to Guide Mission-Relevant Performance Assessment,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1080/2330443x.2018.1442271,Statistics and Public Policy,Examining the Carnegie Classification Methodology for Research Universities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.1016/j.acra.2017.07.013,Academic Radiology,Radiology Research Funding Current State and Future Opportunities,Yes,
dataset-428,Higher Education Research and Development Survey,Higher Education Research and Development Survey,10.2139/ssrn.3098510,SSRN Electronic Journal,"Team Size, Noisy Signals, and the Career Prospects of Academic Scientists",Yes,
dataset-428,N/A,Higher Education Research and Development Survey,10.1108/sgpe-02-2019-050,Studies in Graduate and Postdoctoral Education,Doctoral student experiences in biological sciences laboratory rotations,Yes,https://www.emerald.com/insight/content/doi/10.1108/sgpe-02-2019-050/full/html
dataset-428,N/A,Higher Education Research and Development Survey,10.1007/s11024-017-9330-4,Minerva,"The Scientific Research Output of U.S. Research Universities, 1980�2010: Continuing Dispersion, Increasing Concentration, or Stable Inequality?",Yes,https://link.springer.com/article/10.1007/s11024-017-9330-4
dataset-428,N/A,Higher Education Research and Development Survey,10.25148/CRCP.2.1.16092108,"Class, Race and Corporate Power",Militarized Universities Endanger Global Public Health,Yes,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.426.522&rep=rep1&type=pdf
dataset-428,N/A,Higher Education Research and Development Survey,10.1016/j.jbusvent.2018.10.005,Journal of Business Venturing,Infrastructure investments and entrepreneurial dynamism in the U.S.,Yes,https://www.sciencedirect.com/science/article/pii/S0883902618300089#bfn0090
dataset-428,N/A,Higher Education Research and Development Survey,10.1080/0729436042000276431,Higher Education Research & Development,Research into higher education: an a?theoretical community of practice?,Yes,https://www.tandfonline.com/doi/full/10.1080/0729436042000276431
dataset-428,N/A,Higher Education Research and Development Survey,10.1016/j.edurev.2016.03.001,Educational Research Review,Gender differences between faculty members in higher education: A literature review of selected higher education journals,Yes,https://www.sciencedirect.com/science/article/pii/S1747938X16300124
dataset-428,N/A,Higher Education Research and Development Survey,10.1016/j.respol.2007.12.007,Research Policy,"An empirical study of scientific production: A cross country analysis, 1981�2002",Yes,https://www.sciencedirect.com/science/article/pii/S0048733308000127
dataset-428,N/A,Higher Education Research and Development Survey,10.1126/science.1250055,Science,Science Funding and Short-Term Economic Activity,Yes,https://science.sciencemag.org/content/344/6179/41.full
