title,journal,url,authors,open,search_term,dataset_id
Detection of local site conditions influencing earthquake shaking and secondary effects in Southwest-Haiti using remote sensing and GIS-methods,Natural Hazards and Earth System Sciences,http://www.nat-hazards-earth-syst-sci.net/10/1183/2010/nhess-10-1183-2010.pdf,B. Theilen-Willige,True,Integrated Surface Database,dataset-621
An integrated approach for Limpopo Park groundwater characterization for biodiversity safety,Senses and Sciences,http://www.sensesandsciences.com/vitalev3i4,"Stefania Vitale, Roberto Valenti, Maurizio Barbieri, Giuseppe Sappa",True,Integrated Surface Database,dataset-621
Identification of common differentially-expressed miRNAs in ovarian cancer cells and their exosomes compared with normal ovarian surface epithelial cell cells,Oncology Letters,http://dx.doi.org/10.1371/journal.pone.0156109,"Zhang, Shitao, Zhang, Xiaoping, Fu, Xueqi, Li, Wannan, Xing, Shu, Yang, Yiling",True,Integrated Surface Database,dataset-621
Identification and characterization of science-rich landing sites for lunar lander missions using integrated remote sensing observations,,https://research.vu.nl/en/publications/29fa52f8-e34e-4620-8574-208f1473d036,"Flahaut, J., Blanchette-Guertin, J.F., Jilly, C., Sharma, P., Souchon, A., van Westrenen, W., Kring, D.A.",False,Integrated Surface Database,dataset-621
The Shuilikeng fault in the central Taiwan mountain belt,,http://hdl.handle.net/10261/130606,"Camanni, Giovanni, Brown, Dennis, Alvarez-Marrón, Joaquina, Wu, Y. M., Chen, H. A.",False,Integrated Surface Database,dataset-621
Has OpenStreetMap a role in digital earth applications?,,http://eprints.maynoothuniversity.ie/6580/,"Mooney, Peter, Corcoran, Padraig",True,Integrated Surface Database,dataset-621
"Use of GIS systems to analyze soil compressibility, swelling and bearing capacity under superficial foundations in Algiers region, Algeria",Urbanism. Arhitectura. Constructii,http://uac.incd.ro/Art/v9n4a07.pdf,"Fatiha ‎ Debiche, Ratiba Mitiche Kettab, Mohammed Amin‎ Benbouras, Bilal Benbellil, Lynda Djerbal, Alexandru-Ionut Petrişor",True,Integrated Surface Database,dataset-621
Reactive transport in surface sediments. I. Model complexity and software quality,,https://pure.knaw.nl/portal/en/publications/reactive-transport-in-surface-sediments-i-model-complexity-and-software-quality(ff1d76ae-0cd1-4a0e-8ee2-b3a7b523e02e).html,"Meysman, F.J.R., Middelburg, J.J., Herman, P.M.J., Heip, C.H.R.",False,Integrated Surface Database,dataset-621
Mapping and assessment of urban ecosystem condition and services using integrated index of spatial structure,One Ecosystem,https://zenodo.org/record/1139928,"Nedkov, Stoyan, Zhiyanski, Miglena, Dimitrov, Stelian, Borisova, Bilyana, Popov, Anton, Ihtimanski, Ivo, Yaneva, Rositsa, Nikolov, Petar, Bratanova-Doncheva, Svetla",True,Integrated Surface Database,dataset-621
A new method (M 3 Fusion v1) for combining observations and multiple model output for an improved estimate of the global surface ozone distribution,,https://hal.archives-ouvertes.fr/hal-02374553,"Chang, Kai-Lan, Cooper, Owen, West, J. Jason, Serre, Marc,, Schultz, Martin, Lin, Meiyun, Marécal, Virginie, Josse, Béatrice, Deushi, Makoto, Sudo, Kengo, Liu, Junhua,, Keller, Christoph",True,Integrated Surface Database,dataset-621
A neural network-based method for merging ocean color and Argo data to extend surface bio-optical properties to depth: Retrieval of the particulate backscattering coefficient,Journal of Geophysical Research: Oceans,http://oceanrep.geomar.de/34438/,"Sauzède, R., Claustre, Hervé, Uitz, J., Jamet, C., Dall'Olmo, G., D'Ortenzio, F., Gentili, B., Poteau, A., Schmechtig, C.",True,Integrated Surface Database,dataset-621
Minimal Processing in automatisierten Prozessketten der Fleischverarbeitung: Eine Fallstudie zum Minimal Processing in automatisierten Prozessketten der Fleischverarbeitung am Beispiel der Feinzerlegung von Schweinefleisch (Schinken),,http://publica.fraunhofer.de/documents/N-163249.html,"Durek, J., Becker, T., Bolling, J., Diepolder, H., Heinz, V., Hitzmann, B., Majschak, J.-P., Schlüter, O., Schmidt, H., Schwägele, F., Delgado, A.",True,Integrated Surface Database,dataset-621
Radiation efficiency analysis of submillimeter-wave receivers based on a modified spectral domain integration technique,,http://publica.fraunhofer.de/documents/N-128300.html,"Vaupel, T., Hansen, V., Schäfer, F.",True,Integrated Surface Database,dataset-621
Simultaneous Force Regression and Movement Classification of Fingers via Surface EMG within a Unified Bayesian Framework,Frontiers in Bioengineering and Biotechnology,http://europepmc.org/articles/PMC5834453,"Baldacchino, Tara, Jacobs, William R., Anderson, Sean R., Worden, Keith, Rowson, Jennifer",True,Integrated Surface Database,dataset-621
Simultaneous Force Regression and Movement Classification of Fingers via Surface EMG within a Unified Bayesian Framework,Frontiers in Bioengineering and Biotechnology,http://journal.frontiersin.org/article/10.3389/fbioe.2018.00013/full,"Tara Baldacchino, William R. Jacobs, Sean R. Anderson, Keith Worden, Jennifer Rowson, Jennifer Rowson",True,Integrated Surface Database,dataset-621
Assimilation of surface NO2 and O3 observations into the SILAM chemistry transport model,,http://www.geosci-model-dev.net/8/191/2015/gmd-8-191-2015.pdf,"J. Vira, M. Sofiev",True,Integrated Surface Database,dataset-621
"A global simulation of microwave emission: Error structures based on output from ECMWF’s operational Integrated Forecast System, IEEE Transactions on Geoscience and Remote Sensing",,https://research.vu.nl/en/publications/3513e59c-7f51-495f-8301-1518a3129007,"Holmes, T.R.H., Drusch, M., Wigneron, J.P., de Jeu, R.A.M.",False,Integrated Surface Database,dataset-621
"Historical fire behavior of forest fires occurred from 2002 to 2011 in the Forest Enterprise Minas de Matahambre, Pinar del Río, Cuba",Revista Cubana de Ciencias Forestales,http://cfores.upr.edu.cu/index.php/cfores/article/view/58,"Marcos Pedro Ramos Rodríguez, Carlos Padrón Díaz, Jesús María Cabrera Reina",True,Integrated Surface Database,dataset-621
An analytic-geospatial approach for sustainable water resource management: a case study in the province of Perugia,Journal of Agricultural Engineering,http://www.agroengineering.org/index.php/jae/article/view/405,"Stefano Casadei, Michele Bellezza, Luca Casagrande, Arnaldo Pierleoni",True,Integrated Surface Database,dataset-621
Downregulation of miR-145-5p in cancer cells and their derived exosomes may contribute to the development of ovarian cancer by targeting CT,International Journal of Molecular Medicine,http://europepmc.org/articles/PMC6257844,"Hang, Wenzhao, Feng, Yiwen, Sang, Zhenyu, Yang, Ye, Zhu, Yaping, Huang, Qian, Xi, Xiaowei",True,Integrated Surface Database,dataset-621
Integrated Analysis To Identify Molecular Biomarkers Of High-Grade Serous Ovarian Cancer,OncoTargets and therapy,http://europepmc.org/articles/PMC6877452,"Si, Manfei, Zhang, Junji, Cao, Jianzhong, Xie, Zhibo, Shu, Shan, Zhu, Yapei, Lang, Jinghe",True,Integrated Surface Database,dataset-621
Upgraded global mapping information for earth system modelling: an application to surface water depth at the ECMWF,Hydrology and Earth System Sciences,https://www.hydrol-earth-syst-sci.net/23/4051/2019/hess-23-4051-2019.pdf,"M. Choulga, E. Kourzeneva, G. Balsamo, S. Boussetta, N. Wedi",True,Integrated Surface Database,dataset-621
HadISDH: an updateable land surface specific humidity product for climate monitoring,,http://eprints.maynoothuniversity.ie/6483/,"K. M. Willett, C. N. Williams Jr., R. J. H. Dunn, P. W. Thorne, S. Bell, M. de Podesta, P. D. Jones, D. E. Parker",True,Integrated Surface Database,dataset-621
